Date,TikTok,Facebook,Google Ads,Sales,CPIAUCSL,inflation_yoy,week_of_year,month,year,quarter,is_holiday,is_summer,is_q4,total_spend,google_x_inflation,facebook_x_inflation,unemployment,retail_sales,wei_index
2018-01-07,13528.1,0,0,9779.8,248.859,2.151318868063945,1,1,2018,1,1,0,0,13528.1,0,0,4,423202,2.62
2018-01-14,0,5349.65,2218.93,13245.19,248.859,2.151318868063945,2,1,2018,1,0,0,0,7568.58,4773.625975913129,11508.802982538282,4,423202,2.88
2018-01-21,0,4235.86,2046.96,12022.66,248.859,2.151318868063945,3,1,2018,1,0,0,0,6282.82,4403.663670172173,9112.68554047734,4,423202,3.07
2018-01-28,0,3562.21,0,8846.95,248.859,2.151318868063945,4,1,2018,1,0,0,0,3562.21,0,7663.449585006066,4,423202,2.72
2018-02-04,0,0,2187.29,9797.07,249.529,2.263468931091861,5,2,2018,1,0,0,0,2187.29,4950.862958287917,0,4.1,425507,2.33
2018-02-11,8045.44,4310.55,1992.98,13527.65,249.529,2.263468931091861,6,2,2018,1,0,0,0,14348.97,4511.048310287457,9756.796000918022,4.1,425507,2.69
2018-02-18,0,0,2253.02,9635.43,249.529,2.263468931091861,7,2,2018,1,0,0,0,2253.02,5099.640771128585,0,4.1,425507,2.57
2018-02-25,9697.29,4478.81,2042.3,15355.11,249.529,2.263468931091861,8,2,2018,1,0,0,0,16218.4,4622.682597968907,10137.64728326354,4.1,425507,2.58
2018-03-04,0,3156.93,1859.02,12199.37,249.577,2.3309497646499366,9,3,2018,1,0,0,0,5015.95,4333.282231479525,7358.6452405163245,4,425087,2.59
2018-03-11,0,4522.03,2135.99,11368.23,249.577,2.3309497646499366,10,3,2018,1,0,0,0,6658.0199999999995,4978.885387794618,10540.624764239952,4,425087,2.34
2018-03-18,0,4520.34,0,8640.44,249.577,2.3309497646499366,11,3,2018,1,0,0,0,4520.34,0,10536.685459137694,4,425087,2.54
2018-03-25,0,0,0,4960.26,249.577,2.3309497646499366,12,3,2018,1,0,0,0,0,0,0,4,425087,2.47
2018-04-01,11522.08,5698.46,0,12726.46,250.227,2.4709963021052994,13,4,2018,2,0,0,0,17220.54,0,14080.873587694963,4,425899,2.47
2018-04-08,10243.35,0,0,11421.71,250.227,2.4709963021052994,14,4,2018,2,0,0,0,10243.35,0,0,4,425899,2.39
2018-04-15,0,0,1839.37,10875.31,250.227,2.4709963021052994,15,4,2018,2,0,0,0,1839.37,4545.076468203424,0,4,425899,2.72
2018-04-22,10667.35,0,1907.13,13048.08,250.227,2.4709963021052994,16,4,2018,2,0,0,0,12574.48,4712.51117763408,0,4,425899,2.53
2018-04-29,0,0,2204.36,10775.86,250.227,2.4709963021052994,17,4,2018,2,0,0,0,2204.36,5446.965408508838,0,4,425899,2.22
